No.;Time;;;
341;17.039.926;17,039926;17,052873;0,012947
342;17.052.873;17,052873;17,060011;0,007138
343;17.060.011;17,060011;17,061095;0,001084
344;17.061.095;17,061095;17,123199;0,062104
345;17.123.199;17,123199;17,13622;0,013021
346;17.136.220;17,13622;17,13622;0
347;17.136.220;17,13622;17,136661;0,000441
348;17.136.661;17,136661;17,136661;0
349;17.136.661;17,136661;17,137892;0,001231
350;17.137.892;17,137892;17,137892;0
351;17.137.892;17,137892;17,137892;0
352;17.137.892;17,137892;17,137892;0
353;17.137.892;17,137892;17,137892;0
354;17.137.892;17,137892;17,137892;0
355;17.137.892;17,137892;17,137892;0
356;17.137.892;17,137892;17,138362;0,00047
357;17.138.362;17,138362;17,138362;0
358;17.138.362;17,138362;17,139419;0,001057
359;17.139.419;17,139419;17,139419;0
360;17.139.419;17,139419;17,140195;0,000776
361;17.140.195;17,140195;17,141103;0,000908
362;17.141.103;17,141103;17,141103;0
363;17.141.103;17,141103;17,143057;0,001954
364;17.143.057;17,143057;17,143057;0
365;17.143.057;17,143057;17,144028;0,000971
366;17.144.028;17,144028;17,144028;0
367;17.144.028;17,144028;17,146415;0,002387
368;17.146.415;17,146415;17,146415;0
369;17.146.415;17,146415;17,146911;0,000496
370;17.146.911;17,146911;17,146911;0
371;17.146.911;17,146911;17,148423;0,001512
372;17.148.423;17,148423;17,148552;0,000129
373;17.148.552;17,148552;17,148616;6,4E-05
374;17.148.616;17,148616;17,148691;7,5E-05
375;17.148.691;17,148691;17,148762;7,1E-05
376;17.148.762;17,148762;17,148823;6,1E-05
377;17.148.823;17,148823;17,148889;6,6E-05
378;17.148.889;17,148889;17,148958;6,9E-05
379;17.148.958;17,148958;17,149019;6,1E-05
380;17.149.019;17,149019;17,149114;9,5E-05
381;17.149.114;17,149114;17,150156;0,001042
382;17.150.156;17,150156;17,150272;0,000116
383;17.150.272;17,150272;17,151433;0,001161
384;17.151.433;17,151433;17,151433;0
385;17.151.433;17,151433;17,151923;0,00049
386;17.151.923;17,151923;17,151923;0
387;17.151.923;17,151923;17,152408;0,000485
388;17.152.408;17,152408;17,152408;0
389;17.152.408;17,152408;17,164667;0,012259
390;17.164.667;17,164667;17,164667;0
391;17.164.667;17,164667;17,180869;0,016202
392;17.180.869;17,180869;17,181018;0,000149
393;17.181.018;17,181018;17,181094;7,6E-05
394;17.181.094;17,181094;17,181154;6E-05
395;17.181.154;17,181154;17,195506;0,014352
396;17.195.506;17,195506;17,922535;0,727029
397;17.922.535;17,922535;17,953036;0,030501
398;17.953.036;17,953036;17,954193;0,001157
399;17.954.193;17,954193;17,972108;0,017915
400;17.972.108;17,972108;17,972108;0
401;17.972.108;17,972108;17,973148;0,00104
402;17.973.148;17,973148;17,983207;0,010059
403;17.983.207;17,983207;17,983207;0
404;17.983.207;17,983207;18,012641;0,029434
405;18.012.641;18,012641;18,013089;0,000448
406;18.013.089;18,013089;18,023257;0,010168
407;18.023.257;18,023257;18,023257;0
408;18.023.257;18,023257;18,027504;0,004247
409;18.027.504;18,027504;18,035925;0,008421
410;18.035.925;18,035925;18,043055;0,00713
411;18.043.055;18,043055;18,04505;0,001995
412;18.045.050;18,04505;18,056865;0,011815
413;18.056.865;18,056865;18,056865;0
414;18.056.865;18,056865;18,056865;0
415;18.056.865;18,056865;18,056865;0
416;18.056.865;18,056865;18,065824;0,008959
417;18.065.824;18,065824;18,072823;0,006999
418;18.072.823;18,072823;18,077346;0,004523
419;18.077.346;18,077346;18,152833;0,075487
420;18.152.833;18,152833;18,485589;0,332756
421;18.485.589;18,485589;18,533474;0,047885
422;18.533.474;18,533474;18,574565;0,041091
423;18.574.565;18,574565;18,738573;0,164008
424;18.738.573;18,738573;18,794685;0,056112
425;18.794.685;18,794685;18,842911;0,048226
426;18.842.911;18,842911;18,886199;0,043288
427;18.886.199;18,886199;18,973781;0,087582
428;18.973.781;18,973781;19,168174;0,194393
429;19.168.174;19,168174;19,233704;0,06553
430;19.233.704;19,233704;19,506942;0,273238
431;19.506.942;19,506942;19,55614;0,049198
432;19.556.140;19,55614;19,797522;0,241382
433;19.797.522;19,797522;19,799877;0,002355
434;19.799.877;19,799877;19,800136;0,000259
435;19.800.136;19,800136;19,832847;0,032711
436;19.832.847;19,832847;19,84114;0,008293
437;19.841.140;19,84114;19,859919;0,018779
438;19.859.919;19,859919;19,860067;0,000148
439;19.860.067;19,860067;19,874487;0,01442
440;19.874.487;19,874487;19,874487;0
441;19.874.487;19,874487;19,874487;0
442;19.874.487;19,874487;19,874487;0
443;19.874.487;19,874487;19,875679;0,001192
444;19.875.679;19,875679;19,875807;0,000128
445;19.875.807;19,875807;19,892879;0,017072
446;19.892.879;19,892879;19,908068;0,015189
447;19.908.068;19,908068;19,908313;0,000245
448;19.908.313;19,908313;19,923113;0,0148
449;19.923.113;19,923113;19,923113;0
450;19.923.113;19,923113;19,925616;0,002503
451;19.925.616;19,925616;19,962923;0,037307
452;19.962.923;19,962923;19,963161;0,000238
453;19.963.161;19,963161;19,964462;0,001301
454;19.964.462;19,964462;19,986951;0,022489
455;19.986.951;19,986951;19,986951;0
456;19.986.951;19,986951;19,987217;0,000266
457;19.987.217;19,987217;19,987404;0,000187
458;19.987.404;19,987404;19,987404;0
459;19.987.404;19,987404;19,987497;9,3E-05
460;19.987.497;19,987497;20,002755;0,015258
